anime_id,en_title,year
21557,When Marnie Was There,2014.0
43,Ghost in the Shell,1995.0
9617,K-ON! The Movie,2011.0
10153,Magical Girl Lyrical Nanoha: The Movie 2nd A's,2012.0
1033,Millennium Actress,2002.0
3091,,2008.0
12115,Berserk: The Golden Age Arc III - The Advent,2013.0
28223,Death Parade,2015.0
121,Fullmetal Alchemist,2003.0
3002,Kaiji: Ultimate Survivor,2007.0
6675,Redline,2009.0
10800,Chihayafuru,2011.0
32005,,2016.0
813,Dragon Ball Z,1989.0
28725,The Anthem of the Heart,2015.0
585,Whisper of the Heart,1995.0
16067,A Lull in the Sea,2013.0
30,Neon Genesis Evangelion,1995.0
31490,,2016.0
759,Tokyo Godfathers,2003.0
6,Trigun,1998.0
11977,Puella Magi Madoka Magica the Movie Part 1: Beginnings,2012.0
11123,Sekai Ichi Hatsukoi - World's Greatest First Love 2,2011.0
23847,My Teen Romantic Comedy SNAFU TOO!,2015.0
962,Aria the Natural,2006.0
1519,Black Lagoon: The Second Barrage,2006.0
2167,Clannad,2007.0
5681,Summer Wars,2009.0
6467,,2010.0
10271,Kaiji: Against All Rules,2011.0
22507,,2014.0
3701,Kaiba,2008.0
33255,The Disastrous Life of Saiki K.,2016.0
372,Cardcaptor Sakura Movie 2: The Sealed Card,2000.0
25681,Kamisama Kiss Season 2,2015.0
4722,Skip Beat!,2008.0
24277,,2014.0
239,Gankutsuou: The Count of Monte Cristo,2004.0
512,Kiki's Delivery Service,1989.0
4477,,2008.0
31174,Mr. Osomatsu,2015.0
23327,Space Dandy 2nd Season,2014.0
5365,La Maison en Petits Cubes,2008.0
7465,Time of Eve,2010.0
7054,Maid Sama!,2010.0
23283,Terror in Resonance,2014.0
2025,Darker than Black,2007.0
235,Case Closed,1996.0
1364,Case Closed Movie 5: Countdown to Heaven,2001.0
18689,Ace of Diamond,2013.0
22043,Fairy Tail Series 2,2014.0
31988,Sound! Euphonium 2,2016.0
20899,JoJo's Bizarre Adventure: Stardust Crusaders,2014.0
1453,Maison Ikkoku,1986.0
23623,Non Non Biyori Repeat,2015.0
1559,KenIchi: The Mightiest Disciple,2006.0
23289,Monthly Girls' Nozaki-kun,2014.0
18,,2004.0
4814,Junjo Romantica 2,2008.0
16662,The Wind Rises,2013.0
12031,Kingdom,2012.0
8129,Princess Jellyfish,2010.0
14513,Magi: The Labyrinth of Magic,2012.0
2581,Mobile Suit Gundam 00,2007.0
30015,ReLIFE,2016.0
1827,Moribito - Guardian of the Spirit,2007.0
25013,Yona of the Dawn,2014.0
1367,,2004.0
27833,Durarara!! x2 Ketsu,2016.0
1974,Glass Mask,2005.0
8425,,2011.0
185,Initial D First Stage,1998.0
18679,Kill la Kill,2013.0
2034,Lovely Complex,2007.0
437,Perfect Blue,1998.0
721,Princess Tutu,2002.0
12477,Patema Inverted,2013.0
2402,Tomorrow's Joe,1970.0
6702,Fairy Tail,2009.0
31741,Magi: Adventure of Sinbad,2016.0
440,Revolutionary Girl Utena,1997.0
4107,Gurren Lagann The Movie: Childhood's End,2008.0
1506,Detective Conan: The Private Eyes' Requiem,2006.0
2759,Evangelion: 1.0 You Are (Not) Alone,2007.0
72,Full Metal Panic? Fumoffu,2003.0
3016,Legend of the Galactic Heroes: Overture to a New War,1993.0
3783,The Garden of Sinners Chapter 3: Remaining Sense of Pain,2008.0
3927,Mobile Suit Gundam 00: Second Season,2008.0
11597,Nisemonogatari,2012.0
28025,Tsukimonogatari,2014.0
24833,Assassination Classroom,2015.0
27663,,2015.0
1482,D.Gray-man,2006.0
1430,Lupin III: The Castle of Cagliostro,1979.0
33051,Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,2016.0
7720,Big Windup! 2,2010.0
1914,Tales of Saiunkoku,2007.0
20371,,2014.0
15039,Anohana: The Flower We Saw That Day The Movie,2013.0
2164,Den-noh Coil,2007.0
237,Eureka Seven,2005.0
135,Hikaru no Go,2001.0
6045,Kimi ni Todoke: From Me to You,2009.0
6211,Tokyo Magnitude 8.0,2009.0
232,Cardcaptor Sakura,1998.0
4789,ef - a tale of melodies.,2008.0
16918,Silver Spoon,2013.0
16,Honey and Clover,2005.0
1486,Kodocha,1996.0
24997,Love Live! The School Idol Movie,2015.0
25879,Wagnaria!!3,2015.0
889,Black Lagoon,2006.0
21419,,2014.0
934,Higurashi: When They Cry,2006.0
12189,Hyouka,2012.0
1530,Kanon,2006.0
9656,Kimi ni Todoke: From Me to You Season 2,2011.0
20507,Noragami,2014.0
31149,,2016.0
14075,Blast of Tempest,2012.0
781,Case Closed Movie 3: The Last Wizard of the Century,1999.0
1363,Case Closed Movie 4: Captured In Her Eyes,2000.0
223,Dragon Ball,1986.0
2004,,2002.0
25649,Junjo Romantica 3,2015.0
